source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
266,969,1.500000,0.112537,0.168805,True,0.159062,-0.009743,33.000000,11.000000,33737661.982425,47685479.912465,3.955525
266,969,2.000000,0.112537,0.225073,True,0.159062,-0.066012,33.000000,11.000000,33737661.982425,47685479.912465,3.889040
364,643,1.250000,0.089520,0.111900,True,0.109903,-0.001997,20.000000,5.000000,26837418.368106,32948231.424878,7.519150
364,643,1.500000,0.089520,0.134280,True,0.136155,0.001875,23.000000,6.000000,26837418.368106,40818338.615962,7.522685
364,643,2.000000,0.089520,0.179040,True,0.144754,-0.034286,28.000000,5.000000,26837418.368106,43396146.228605,7.591757
1301,523,1.250000,0.170207,0.212758,True,0.197095,-0.015663,42.000000,9.000000,51026680.990927,59087594.395542,5.615002
1301,523,1.500000,0.170207,0.255310,True,0.197095,-0.058215,42.000000,9.000000,51026680.990927,59087594.395542,5.915849
1301,523,2.000000,0.170207,0.340413,True,0.197095,-0.143318,42.000000,9.000000,51026680.990927,59087594.395542,5.644453
45,655,1.250000,0.128852,0.161065,True,0.162858,0.001793,30.000000,12.000000,38628883.409053,48823679.275614,5.475527
45,655,1.500000,0.128852,0.193278,True,0.162858,-0.030420,30.000000,12.000000,38628883.409053,48823679.275614,5.581442
45,655,2.000000,0.128852,0.257704,True,0.162858,-0.094846,30.000000,12.000000,38628883.409053,48823679.275614,5.466551
